FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
0,0,126.4583578,45.59243393,4,19.18472755,0.431791918,816.5092204,0.42538105000000015
1,1,126.4634171,45.59185619,4,19.18472755,0.431791918,511.4838753,0.42538105000000015
2,4,126.4532985,45.59301145,4,19.18472755,0.431791918,40.85144859,0.42538105000000015
3,17,126.4035243,45.60233662,9,18.16158725,0.431791918,617.331079,0.42577182000000013
4,20,126.4085849,45.60176113,9,18.16158725,0.431791918,581.3384995,0.42577182000000013
5,31,126.4541261,45.5965715,4,19.18472755,0.431791918,446.4074287,0.42538105000000015
6,33,126.4498889,45.60070104,4,18.16158725,0.431791918,31.32981195,0.42538105000000015
7,35,126.4549489,45.60012348,4,18.16158725,0.431791918,414.9225956,0.42538105000000015
8,45,126.388342,45.60406174,9,17.23575477,0.431791918,429.2976868,0.42577182000000013
9,48,126.383281,45.60463633,9,17.23575477,0.416385521,490.1387171,0.39705131999999993
10,57,126.4017419,45.61712107,9,18.16158725,0.431791918,177.0309661,0.4261815900000002
11,58,126.3984637,45.60291189,9,18.16158725,0.431791918,516.3880185,0.42577182000000013
12,60,126.4043441,45.6058889,9,18.16158725,0.431791918,1313.971887,0.42577182000000013
13,61,126.3934029,45.60348693,9,18.16158725,0.431791918,406.7589239,0.42577182000000013
14,62,126.4102252,45.60886562,9,18.16158725,0.460420398,690.7116611,0.4571955700000004
15,65,126.4051639,45.60944117,9,18.16158725,0.431791918,12.35168694,0.42577182000000013
16,66,126.4152863,45.60828984,9,18.16158725,0.460420398,40.85714198,0.4571955700000004
17,67,126.4219892,45.61481818,9,18.16158725,0.460420398,408.3383626,0.45720017000000035
18,68,126.4211682,45.61126601,9,18.16158725,0.460420398,129.3190775,0.45719649000000034
19,72,126.4110454,45.61241785,9,18.16158725,0.460420398,259.6944887,0.45719649000000034
20,73,126.4068039,45.61654569,9,18.16158725,0.460420398,318.9274736,0.45720017000000035
21,75,126.4059839,45.61299343,9,18.16158725,0.460420398,312.7668756,0.45720017000000035
22,76,126.4161068,45.61184204,9,18.16158725,0.460420398,483.2873229,0.45719649000000034
23,87,126.4270507,45.61424189,9,18.16158725,0.460420398,190.7289452,0.45720017000000035
24,88,126.4329339,45.61721748,9,19.18472755,0.460420398,254.7058471,0.45720017000000035
25,90,126.4278721,45.61779403,9,19.18472755,0.460420398,345.9397172,0.45720017000000035
26,93,126.4507116,45.60425305,4,18.16158725,0.460420398,440.5112302,0.45686384000000024
27,96,126.4523572,45.61135704,4,19.18472755,0.460420398,134.5760216,0.45686476000000026
28,99,126.4515343,45.60780504,4,18.16158725,0.460420398,428.6576511,0.45686384000000024
29,104,126.4481187,45.61548648,4,19.18472755,0.460420398,430.0470815,0.4565121600000003
