FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
534,1049,126.6451978,45.70225315,5,18.16158725,0.460420398,1622.913241,0.45968328
1076,1828,126.6443616,45.69870233,5,18.16158725,0.460420398,3239.784607,0.45968328
1132,1884,126.6426894,45.69160067,5,18.16158725,0.460420398,818.1861309,0.45882482
1135,1887,126.6376227,45.69218642,5,18.16158725,0.460420398,2464.605695,0.45882482
1138,1890,126.6384584,45.69573728,5,18.16158725,0.460420398,1872.438835,0.45919618
1139,1891,126.6325558,45.69277195,5,18.16158725,0.460420398,1908.936938,0.45621157
1141,1893,126.6333912,45.69632284,5,18.16158725,0.460420398,2722.049217,0.45605277
1142,1894,126.6392942,45.69928814,5,18.16158725,0.460420398,3104.998568,0.45919618
1143,1895,126.6435255,45.6951515,5,18.16158725,0.460420398,993.8160388,0.45968328
1144,1896,126.6342267,45.69987373,5,18.16158725,0.460420398,1347.104561,0.45919618
1145,1897,126.6350623,45.70342461,5,18.16158725,0.460420398,2251.725723,0.45919618
1146,1898,126.6434747,45.71704233,5,18.16158725,0.460420398,4051.779933,0.45941779
1147,1899,126.6443111,45.72059315,5,18.16158725,0.460420398,3186.681657,0.45915167
1334,2088,126.635898,45.70697548,5,18.16158725,0.460420398,1740.67486,0.45987547
1336,2090,126.6367338,45.71052635,5,18.16158725,0.460420398,2014.411559,0.45987547
1338,2092,126.6409661,45.70638983,5,18.16158725,0.460420398,80.9257038,0.45987547
1339,2093,126.6375696,45.71407721,5,18.16158725,0.460420398,2249.418832,0.45893069
1340,2094,126.6418022,45.70994067,5,18.16158725,0.460420398,477.7430324,0.45987547
1353,2107,126.6384056,45.71762807,5,18.16158725,0.460420398,2145.886264,0.45866457
1354,2108,126.6426384,45.7134915,5,18.16158725,0.460420398,802.1665223,0.45893069
1405,2159,126.6400779,45.72472976,5,19.18472755,0.460420398,1838.481525,0.45886703
1408,2162,126.6409141,45.7282806,5,19.18472755,0.460420398,2418.780999,0.45893712
2035,3275,126.6401301,45.70283899,5,18.16158725,0.460420398,884.731271,0.45919618
2046,3286,126.6730879,45.68808139,5,18.16158725,0.431791918,1732.752541,0.42896976
2047,3287,126.6629555,45.68925539,5,18.16158725,0.431791918,835.7775084,0.4285417
2049,3289,126.6705348,45.69932052,5,18.16158725,0.460420398,1350.129518,0.46194628
2050,3290,126.6477561,45.69101469,5,18.16158725,0.460420398,956.318871,0.45925435
2051,3291,126.6587261,45.69339279,5,18.16158725,0.460420398,1332.026693,0.46136559
2052,3292,126.6536593,45.69397925,5,18.16158725,0.460420398,1038.358709,0.46001924
2053,3293,126.6595631,45.69694352,5,18.16158725,0.460420398,1045.212313,0.46191367
2054,3294,126.6494289,45.69811629,5,18.16158725,0.460420398,2677.476935,0.4603906
