FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF,PM_RF
59,260,126.4167898,45.63728334,0,19.18472755,0.431791918,152.3881135,0.42598819,18.94024922969998
65,271,126.3914701,45.64015999,0,19.18472755,0.416385521,38.87851269,0.39841622,18.601537578999974
67,277,126.4074825,45.64198693,0,19.18472755,0.431791918,48.73084819,0.42353716,18.94024922969998
68,278,126.3981738,45.64668972,0,19.18472755,0.431791918,845.0593733,0.42264558,18.91978642369998
69,281,126.393109,45.64726466,0,19.18472755,0.431791918,1111.547477,0.42264558,18.91978642369998
70,282,126.3989937,45.65024202,0,19.18472755,0.431791918,37.79635439,0.42322577,18.94024922969998
71,284,126.3947484,45.6543693,0,19.18472755,0.431791918,166.4101363,0.42322577,18.94024922969998
72,285,126.3939286,45.65081698,0,19.18472755,0.431791918,440.6501108,0.42322577,18.93001782669998
73,286,126.4040587,45.64966683,0,19.18472755,0.431791918,838.9814441,0.42322577,18.91978642369998
74,290,126.4125467,45.64141134,0,19.18472755,0.431791918,429.2037366,0.42353716,18.93001782669998
75,291,126.4024183,45.64256229,0,19.18472755,0.431791918,112.2018435,0.42353716,18.94024922969998
76,292,126.411726,45.63785912,0,19.18472755,0.431791918,267.0368397,0.42637896,18.94024922969998
77,296,126.4133675,45.64496355,0,19.18472755,0.431791918,513.2833172,0.42353716,18.91978642369998
78,297,126.4200743,45.65149206,0,19.18472755,0.431791918,1218.744382,0.42256703,18.91978642369998
79,298,126.4208957,45.65504423,0,19.18472755,0.431791918,42.15080685,0.42256703,18.94024922969998
80,299,126.4141883,45.64851576,0,19.18472755,0.431791918,1009.286902,0.42264558,18.91978642369998
81,300,126.408303,45.64553917,0,19.18472755,0.431791918,399.3580204,0.42264558,18.93001782669998
82,301,126.4091236,45.64909141,0,19.18472755,0.431791918,1042.146538,0.42322577,18.91978642369998
83,302,126.4150093,45.65206796,0,19.18472755,0.431791918,1735.990479,0.42322577,18.90955502069998
84,303,126.419253,45.64793989,0,19.18472755,0.431791918,574.9991683,0.42190726,18.570843369999974
87,320,126.4370438,45.63497792,0,19.18472755,0.460420398,436.9689068,0.45664517,18.93001782669998
98,334,126.442107,45.634401,0,19.18472755,0.460420398,841.749352,0.45664241,18.91978642369998
105,347,126.4386884,45.64208206,0,19.18472755,0.460420398,305.2483794,0.45558414,18.93001782669998
106,349,126.4395108,45.64563412,0,19.18472755,0.460420398,424.7789989,0.45471847,18.93001782669998
107,350,126.4403334,45.64918618,0,19.18472755,0.460420398,649.6164659,0.4547636,18.91978642369998
108,352,126.4352688,45.64976299,0,19.18472755,0.431791918,995.0589338,0.42256703,18.91978642369998
109,353,126.441156,45.65273823,0,19.18472755,0.460420398,578.9615471,0.45174982,18.91978642369998
110,354,126.4251392,45.65091593,0,19.18472755,0.431791918,825.4600687,0.42256703,18.91978642369998
111,355,126.431026,45.65389168,0,19.18472755,0.431791918,1251.857247,0.42256703,18.91978642369998
112,356,126.430204,45.65033957,0,19.18472755,0.431791918,1093.522091,0.42256703,18.91978642369998
113,358,126.4259609,45.65446807,0,19.18472755,0.431791918,901.6507316,0.42256703,18.91978642369998
114,359,126.4429296,45.63795305,0,19.18472755,0.460420398,435.4091707,0.45592985,18.93001782669998
115,360,126.4360911,45.65331507,0,19.18472755,0.431791918,593.2442837,0.42256703,18.91978642369998
116,361,126.4437523,45.64150508,0,19.18472755,0.460420398,121.44954,0.45347193,18.94024922969998
118,369,126.4462209,45.65216116,0,19.18472755,0.460420398,828.1328763,0.45098722,18.91978642369998
535,1051,126.4014541,45.66089887,0,19.18472755,0.431791918,640.468924,0.42322577,18.91978642369998
536,1053,126.4115858,45.65974808,0,19.18472755,0.431791918,1732.405991,0.42322577,18.90955502069998
537,1054,126.4022744,45.66445115,0,19.18472755,0.431791918,229.2757672,0.42322577,18.96071203569998
538,1055,126.396388,45.66147393,0,19.18472755,0.431791918,870.6286208,0.42322577,18.91978642369998
539,1056,126.40652,45.66032359,0,19.18472755,0.431791918,396.6040378,0.42322577,18.93001782669998
540,1057,126.4124067,45.6633003,0,19.18472755,0.431791918,1093.043123,0.42322577,18.91978642369998
541,1065,126.4158304,45.65562016,0,19.18472755,0.431791918,1444.259698,0.42322577,18.899323617699977
542,1067,126.4073406,45.66387584,0,19.18472755,0.431791918,869.4958357,0.42322577,18.91978642369998
543,1069,126.4174728,45.66272454,0,19.18472755,0.431791918,214.5573915,0.42256703,18.94024922969998
544,1071,126.410765,45.65619586,0,19.18472755,0.431791918,1068.768836,0.42322577,18.91978642369998
545,1072,126.4276046,45.66157233,0,19.18472755,0.431791918,661.9705988,0.42256703,18.91978642369998
546,1073,126.4166515,45.65917235,0,19.18472755,0.431791918,968.8438403,0.42256703,18.91978642369998
547,1075,126.4284265,45.66512445,0,19.18472755,0.460420398,893.7782839,0.45197677,19.00163764769998
548,1076,126.4233604,45.66570069,0,19.18472755,0.460420398,1412.830686,0.45197677,18.991406244699977
549,1077,126.4292486,45.66867656,0,19.18472755,0.460420398,1243.873339,0.4531468,19.08348887169998
550,1079,126.4182941,45.66627671,0,19.18472755,0.460420398,815.1185197,0.45197677,19.05279466269998
551,1081,126.4241821,45.66925284,0,19.18472755,0.460420398,682.1012769,0.4531468,19.08348887169998
570,1119,126.425004,45.67280498,0,19.18472755,0.460420398,427.0783685,0.45451145,19.19603430469998
571,1121,126.4318481,45.65744378,0,19.18472755,0.431791918,98.33978195,0.42256703,18.94024922969998
572,1124,126.4369135,45.65686714,0,19.18472755,0.460420398,25.2244591,0.45175166,18.94024922969998
573,1129,126.4452706,45.67049839,0,19.18472755,0.460420398,309.5000989,0.45233601,19.155108692699983
575,1131,126.4351375,45.67165214,0,19.18472755,0.460420398,102.694486,0.45451145,19.19603430469998
576,1132,126.434315,45.66810006,0,19.18472755,0.460420398,855.0588322,0.45197677,19.08348887169998
577,1133,126.4402041,45.67107538,0,19.18472755,0.460420398,978.426968,0.45314588,19.197109656399984
